1603294147.0056248,-0.013001833333333332,0.012884166666666667,49.8167,180.0,0.0,0.0,60.88686800000001,0.0,0.0
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294147.3015149,-0.012998833333333333,0.012887333333333334,49.8654,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294147.600937,-0.012995833333333335,0.0128905,49.9143,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294147.9041185,-0.012992666666666668,0.012893833333333334,49.9647,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294148.2066534,-0.012989666666666667,0.012896999999999999,50.0141,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294148.499298,-0.012986500000000002,0.012900333333333335,50.0618,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294148.807028,-0.012983333333333335,0.012903666666666667,50.1118,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294149.103271,-0.012980333333333333,0.012907,50.1606,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294149.4067268,-0.012977333333333334,0.012910166666666667,50.2098,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294149.703556,-0.012974166666666667,0.0129135,50.2573,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294150.0001698,-0.012971166666666667,0.012916666666666667,50.3055,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294150.3027258,-0.012968166666666666,0.01292,50.3546,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294150.6059873,-0.012965,0.012923166666666668,50.4028,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294150.9075005,-0.012962,0.012926333333333335,50.4514,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294151.2045925,-0.012959,0.0129295,50.4988,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294151.4995341,-0.012956,0.012932666666666667,50.5456,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294151.7990744,-0.012952833333333334,0.012936,50.5931,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294152.1038377,-0.012949833333333332,0.012939333333333334,50.642,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294152.4065847,-0.012946833333333333,0.0129425,50.6897,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294152.698578,-0.012943833333333333,0.012945833333333333,50.736,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294153.003123,-0.012940666666666666,0.012949166666666668,50.7835,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294153.2983365,-0.012937666666666665,0.012952333333333335,50.8303,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294153.600163,-0.012934666666666667,0.012955666666666667,50.8776,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294153.9062424,-0.012931666666666668,0.012959,50.9249,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294154.2020292,-0.012928666666666666,0.012962333333333333,50.9711,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294154.5037155,-0.012925666666666667,0.012965666666666665,51.0183,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294154.8045733,-0.012922666666666667,0.012969000000000001,51.0648,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294155.0988505,-0.012919666666666666,0.012972166666666667,51.1102,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294155.4070132,-0.012916666666666667,0.012975500000000001,51.1578,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294155.7037477,-0.012913666666666665,0.012978833333333334,51.2033,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294156.0016649,-0.012910666666666666,0.012981999999999999,51.2494,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294156.3071992,-0.012907666666666668,0.012985333333333333,51.2964,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294156.6045606,-0.012904666666666667,0.012988666666666667,51.3418,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294156.9075418,-0.012901666666666667,0.012991833333333334,51.3881,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294157.2009633,-0.012898666666666668,0.012995333333333333,51.433,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294157.4996939,-0.012895666666666666,0.0129985,51.4778,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294157.8046026,-0.012892666666666667,0.013002000000000001,51.5242,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294158.1047707,-0.012889666666666666,0.013005166666666667,51.5692,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294158.3988664,-0.012886666666666666,0.013008666666666667,51.6136,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294158.705964,-0.012883666666666667,0.013012,51.6599,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294158.9988053,-0.012880833333333334,0.013015333333333332,51.7038,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294159.3006423,-0.012877833333333333,0.013018666666666668,51.7489,180.0,180.0,180.0,60.88686800000001,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294159.6050854,-0.012874833333333334,0.013022,51.7942,180.0,180.0,180.0,48.158502,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294159.9006588,-0.012872,0.013025333333333333,51.8381,180.0,180.0,180.0,35.755720000000004,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294160.205287,-0.012869,0.013028666666666666,51.8837,180.0,180.0,180.0,35.755720000000004,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294160.5042229,-0.012865999999999999,0.013031999999999998,51.9279,180.0,180.0,180.0,35.755720000000004,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294160.8024933,-0.012863166666666667,0.013035333333333335,51.9718,180.0,180.0,180.0,35.755720000000004,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294161.1064928,-0.012860166666666667,0.013038666666666667,52.0168,180.0,180.0,180.0,35.755720000000004,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294161.4026852,-0.012857166666666666,0.013042,52.0603,180.0,180.0,180.0,35.755720000000004,65.042054,67.15356200000001
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294161.698792,-0.012854166666666667,0.0130455,52.1032,180.0,180.0,180.0,35.755720000000004,65.042054,64.445416
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294162.0086968,-0.012851166666666667,0.013048833333333334,52.1477,180.0,180.0,180.0,35.755720000000004,65.042054,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294162.3067467,-0.012848166666666666,0.013052166666666667,52.1901,180.0,180.0,180.0,35.755720000000004,65.042054,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294162.6017933,-0.012845166666666666,0.013055666666666667,52.2308,180.0,180.0,180.0,35.755720000000004,65.042054,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294162.906032,-0.012842166666666667,0.013059,52.272,180.0,180.0,180.0,35.755720000000004,65.042054,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294163.2001576,-0.012839333333333335,0.013062333333333334,52.3113,180.0,180.0,180.0,35.755720000000004,65.042054,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294163.5048318,-0.012836333333333333,0.013065833333333334,52.3513,180.0,180.0,180.0,35.755720000000004,65.042054,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294163.80632,-0.012833333333333334,0.013069166666666666,52.3905,180.0,180.0,180.0,35.755720000000004,65.042054,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294164.1030357,-0.0128305,0.013072666666666666,52.4285,180.0,180.0,180.0,35.755720000000004,57.315818,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294164.4069743,-0.012827499999999999,0.013076,52.4673,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294164.6991963,-0.012824666666666668,0.013079333333333333,52.5044,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294165.001329,-0.012821666666666667,0.013082833333333332,52.5426,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
